cell,block,fingerprint,cachedValue,dependencySheets,classificationReasons,formula,normalizedFormula
Q4,UNCLASSIFIED,e63164201eb73dd0519a,700,,,MAX(F9:F28),MAX(R[+5]C[-11]:R[+24]C[-11])
Q5,UNCLASSIFIED,2c7bc14263014160d2a9,400,,,MIN(F9:F28),MIN(R[+4]C[-11]:R[+23]C[-11])
Q6,UNCLASSIFIED,ccae039652fb9e880f57,0.875,,,"IFERROR(MAX(K9:K28),"""")","IFERROR(MAX(R[+3]C[-6]:R[+22]C[-6]),"""")"
Q7,UNCLASSIFIED,9b1aef56d0df6b8552bb,NO,,,"IF(MIN(F9:F28)<0,""YES"",""NO"")","IF(MIN(R[+2]C[-11]:R[+21]C[-11])<0,""YES"",""NO"")"
Q8,STATUS,6c9d80ac6b06ca4fd62e,NO,,"""BLOCK"" | COUNTIF(","IF(COUNTIF(L9:L28,""BLOCK"")>0,""YES"",""NO"")","IF(COUNTIF(R[+1]C[-5]:R[+20]C[-5],""BLOCK"")>0,""YES"",""NO"")"
A9,UNCLASSIFIED,3458cdb72f8aa89671ec,P1,SPRING_ASSIGNMENTS,,"IF(SPRING_ASSIGNMENTS!B2="""","""",SPRING_ASSIGNMENTS!B2)","IF('SPRING_ASSIGNMENTS'!R[-7]C[+1]="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[+1])"
B9,UNCLASSIFIED,ab00340190f9c2966476,N1,SPRING_ASSIGNMENTS,,"IF($A9="""","""",SPRING_ASSIGNMENTS!A2)","IF(RC1="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[-1])"
C9,JOIN,e811b46f854c157abcc9,-1,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B9="""","""",INDEX(POINT_COORDINATES!$B$2:$B$100,MATCH($B9,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C2:R100C2,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
D9,JOIN,8fb2d508d5a330f9562f,-1,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B9="""","""",INDEX(POINT_COORDINATES!$C$2:$C$100,MATCH($B9,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C3:R100C3,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
E9,JOIN,619756a00b92a04a3ed4,-400,IMPORTED_NODAL,FS | SUMIFS,"IF($B9="""","""",SUMIFS(IMPORTED_NODAL!$E$2:$E$200,IMPORTED_NODAL!$A$2:$A$200,$B9,IMPORTED_NODAL!$B$2:$B$200,$B$3))","IF(RC2="""","""",SUMIFS('IMPORTED_NODAL'!R2C5:R200C5,'IMPORTED_NODAL'!R2C1:R200C1,RC2,'IMPORTED_NODAL'!R2C2:R200C2,R3C2))"
F9,UNCLASSIFIED,936cac9a550fed60f943,400,,,"IF($A9="""","""",IF($B$4=""compression-negative"",-E9,E9))","IF(RC1="""","""",IF(R4C2=""COMPRESSION-NEGATIVE"",-RC[-1],RC[-1]))"
G9,UNCLASSIFIED,78f81eaf9b5db2aed525,COMPRESSION,,,"IF($A9="""","""",IF(F9>=0,""COMPRESSION"",""TENSION""))","IF(RC1="""","""",IF(RC[-1]>=0,""COMPRESSION"",""TENSION""))"
H9,JOIN,6990db21c36e8e4d3f5a,800,PILE_POINTS,INDEX | MATCH,"IF($A9="""","""",INDEX(PILE_POINTS!$D$2:$D$100,MATCH($A9,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C4:R100C4,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
I9,JOIN,d3047106ad6537f6197c,0,PILE_POINTS,INDEX | MATCH,"IF($A9="""","""",INDEX(PILE_POINTS!$E$2:$E$100,MATCH($A9,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C5:R100C5,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
J9,UNCLASSIFIED,d62ca1d498d29761e5d7,800,,,"IF($A9="""","""",IF(G9=""COMPRESSION"",H9,I9))","IF(RC1="""","""",IF(RC[-3]=""COMPRESSION"",RC[-2],RC[-1]))"
K9,ACTION,dc65032a1ccf15c13650,0.5,,ABS,"IF($A9="""","""",IF(G9=""COMPRESSION"",F9/H9,IF(I9>0,ABS(F9)/I9,NA())))","IF(RC1="""","""",IF(RC[-4]=""COMPRESSION"",RC[-5]/RC[-3],IF(RC[-2]>0,ABS(RC[-5])/RC[-2],NA())))"
L9,STATUS,140ce0b4c72278660359,PASS,,"""BLOCK"" | ""FAIL"" | ""PASS""","IF($A9="""","""",IF(G9=""COMPRESSION"",IF(K9<=1,""PASS"",""FAIL""),IF(I9<=0,""BLOCK"",IF(K9<=1,""PASS"",""FAIL""))))","IF(RC1="""","""",IF(RC[-5]=""COMPRESSION"",IF(RC[-1]<=1,""PASS"",""FAIL""),IF(RC[-3]<=0,""BLOCK"",IF(RC[-1]<=1,""PASS"",""FAIL""))))"
M9,JOIN,359df7197ac13ee55762,HK1,PILE_POINTS,INDEX | MATCH,"IF($A9="""","""",INDEX(PILE_POINTS!$F$2:$F$100,MATCH($A9,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C6:R100C6,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
N9,JOIN,016a6c2b2e13027efaca,SPT,PILE_POINTS,INDEX | MATCH,"IF($A9="""","""",INDEX(PILE_POINTS!$G$2:$G$100,MATCH($A9,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C7:R100C7,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
Q9,STATUS,fd3ef270f0dfc66a3e05,NO,,"""FAIL"" | COUNTIF(","IF(COUNTIF(L9:L28,""FAIL"")>0,""YES"",""NO"")","IF(COUNTIF(RC[-5]:R[+19]C[-5],""FAIL"")>0,""YES"",""NO"")"
A10,UNCLASSIFIED,3458cdb72f8aa89671ec,P2,SPRING_ASSIGNMENTS,,"IF(SPRING_ASSIGNMENTS!B3="""","""",SPRING_ASSIGNMENTS!B3)","IF('SPRING_ASSIGNMENTS'!R[-7]C[+1]="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[+1])"
B10,UNCLASSIFIED,ab00340190f9c2966476,N2,SPRING_ASSIGNMENTS,,"IF($A10="""","""",SPRING_ASSIGNMENTS!A3)","IF(RC1="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[-1])"
C10,JOIN,e811b46f854c157abcc9,1,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B10="""","""",INDEX(POINT_COORDINATES!$B$2:$B$100,MATCH($B10,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C2:R100C2,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
D10,JOIN,8fb2d508d5a330f9562f,-1,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B10="""","""",INDEX(POINT_COORDINATES!$C$2:$C$100,MATCH($B10,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C3:R100C3,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
E10,JOIN,619756a00b92a04a3ed4,-500,IMPORTED_NODAL,FS | SUMIFS,"IF($B10="""","""",SUMIFS(IMPORTED_NODAL!$E$2:$E$200,IMPORTED_NODAL!$A$2:$A$200,$B10,IMPORTED_NODAL!$B$2:$B$200,$B$3))","IF(RC2="""","""",SUMIFS('IMPORTED_NODAL'!R2C5:R200C5,'IMPORTED_NODAL'!R2C1:R200C1,RC2,'IMPORTED_NODAL'!R2C2:R200C2,R3C2))"
F10,UNCLASSIFIED,936cac9a550fed60f943,500,,,"IF($A10="""","""",IF($B$4=""compression-negative"",-E10,E10))","IF(RC1="""","""",IF(R4C2=""COMPRESSION-NEGATIVE"",-RC[-1],RC[-1]))"
G10,UNCLASSIFIED,78f81eaf9b5db2aed525,COMPRESSION,,,"IF($A10="""","""",IF(F10>=0,""COMPRESSION"",""TENSION""))","IF(RC1="""","""",IF(RC[-1]>=0,""COMPRESSION"",""TENSION""))"
H10,JOIN,6990db21c36e8e4d3f5a,800,PILE_POINTS,INDEX | MATCH,"IF($A10="""","""",INDEX(PILE_POINTS!$D$2:$D$100,MATCH($A10,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C4:R100C4,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
