Node,Point,OutputCase,CaseType,Fx,Fy,Fz,Mx,My,Mz
136,136,EULS,EULS,6.114587136873498,7.60160881133767,286.91991774862805,0,0,0
136,136,EULS,EULS,-6.138907395049193,-7.589027792145371,190.23609139556444,0,0,0
137,137,EULS,EULS,6.024313228742632,7.565465189987405,260.9278268061119,0,0,0
137,137,EULS,EULS,-6.057697709428109,-7.551288386756964,198.90571868571297,0,0,0
144,144,EULS,EULS,6.023922627709259,7.367116593119833,270.8934985824897,0,0,0
144,144,EULS,EULS,-6.0575753892131265,-7.343527634551385,176.1971389864209,0,0,0
145,145,EULS,EULS,6.115032894584146,7.367175449779903,285.1184277095996,0,0,0
145,145,EULS,EULS,-6.1394274918160745,-7.34356553187041,176.98768622834132,0,0,0
146,146,EULS,EULS,6.151526405771362,7.920268130304808,297.4859063516979,0,0,0
146,146,EULS,EULS,-6.170825181882671,-7.9293835378837185,194.71942674217678,0,0,0
147,147,EULS,EULS,6.161931381625057,8.087346492023325,300.3376508670345,0,0,0
147,147,EULS,EULS,-6.179660634940105,-8.107987665780914,198.29126175857692,0,0,0
148,148,EULS,EULS,6.1732453085127945,8.252345699073759,300.04555821930734,0,0,0
148,148,EULS,EULS,-6.189158613632341,-8.284215512933036,199.22295004898305,0,0,0
159,159,EULS,EULS,6.142195768650366,8.859360969705284,303.4136821443748,0,0,0
159,159,EULS,EULS,-6.134360538106241,-8.875932583447048,201.4232815594236,0,0,0
160,160,EULS,EULS,6.1583195951613225,9.061839847568978,343.63918974684805,0,0,0
160,160,EULS,EULS,-6.15239599793446,-9.06323500692208,229.64095530027743,0,0,0
161,161,EULS,EULS,6.031814131395742,9.13403868642082,280.22771574243876,0,0,0
161,161,EULS,EULS,-6.0118562926463985,-9.131191543174339,205.76675962968275,0,0,0
167,167,EULS,EULS,5.786179924709186,8.706874064178617,310.9017790337088,0,0,0
167,167,EULS,EULS,-5.738720382985171,-8.70540360160211,203.47771881614923,0,0,0
168,168,EULS,EULS,5.785111990798642,8.93949061197766,365.2920507005818,0,0,0
168,168,EULS,EULS,-5.736471432429816,-8.951309239751861,240.96986191633027,0,0,0
169,169,EULS,EULS,5.821947418471196,8.940186832427152,290.52138193625683,0,0,0
169,169,EULS,EULS,-5.76417908464948,-8.951489903196507,196.59876767884856,0,0,0
170,170,EULS,EULS,5.8191715581666035,8.237220549414246,285.949573636969,0,0,0
170,170,EULS,EULS,-5.816342565070492,-8.244991770769882,187.77710889085142,0,0,0
171,171,EULS,EULS,5.819147985537895,8.075804450906592,285.78082587948563,0,0,0
171,171,EULS,EULS,-5.816092215762306,-8.08862272827984,184.56822428543674,0,0,0
172,172,EULS,EULS,5.817643430921133,7.914175544381543,282.45435302362756,0,0,0
172,172,EULS,EULS,-5.815151177024979,-7.923518106506826,178.9324175216505,0,0,0
177,177,EULS,EULS,5.784678789736269,7.630793336483799,284.1586952648752,0,0,0
177,177,EULS,EULS,-5.7931740303587524,-7.618114697094414,175.2913651536188,0,0,0
178,178,EULS,EULS,5.783701766742128,7.4669307380468535,275.85595425892734,0,0,0
178,178,EULS,EULS,-5.7928354130069,-7.449294240629165,165.10458831125334,0,0,0
179,179,EULS,EULS,5.78352852822504,7.307158132585056,273.6354927832871,0,0,0
179,179,EULS,EULS,-5.793168163623153,-7.283100613808371,151.8321634793823,0,0,0
