Story,Pier,AxisAngle,NumAreaObj,NumLineObj,WidthBot,ThickBot,WidthTop,ThickTop,Material,CGBotX,CGBotY,CGBotZ,CGTopX,CGTopY,CGTopZ
T2,C9,0,4.5,C22X22,0.22,0.22,0.22,0.22,B25,45.48,6.5,0,45.48,6.5,4.5
T2,C8,0,4.5,C22X22,0.22,0.22,0.22,0.22,B25,47.58,6.5,0,47.58,6.5,4.5
T2,C7,0,4.5,C22X60,0.22,0.6,0.22,0.6,B25,44.5,14,0,44.5,14,4.5
T2,C6,0,4.5,C30X60,0.3,0.6,0.3,0.6,B25,47.58,14,0,47.58,14,4.5
T2,C5,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,41.38,14,0,41.38,14,4.5
T2,C45,0,4.5,C40X70,0.4,0.7,0.4,0.7,B25,41.38,6.5,0,41.38,6.5,4.5
T2,C44,0,4.5,C40X70,0.4,0.7,0.4,0.7,B25,28.98,6.5,0,28.98,6.5,4.5
T2,C43,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,47.58,0,0,47.58,0,4.5
T2,C42,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,41.38,0,0,41.38,0,4.5
T2,C41,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,35.18,0,0,35.18,0,4.5
T2,C40,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,28.98,0,0,28.98,0,4.5
T2,C4,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,35.18,14,0,35.18,14,4.5
T2,C39,0,4.5,C30X60,0.3,0.6,0.3,0.6,B25,21,1.87,0,21,1.87,4.5
T2,C38,0,4.5,C50X40,0.5,0.4,0.5,0.4,B25,15.95,21.2,0,15.95,21.2,4.5
T2,C37,0,4.5,C50X50,0.5,0.5,0.5,0.5,B25,21,14,0,21,14,4.5
T2,C36,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,21,6.5,0,21,6.5,4.5
T2,C35,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,17,6.5,0,17,6.5,4.5
T2,C34,0,4.5,C40X70,0.4,0.7,0.4,0.7,B25,11.5,14,0,11.5,14,4.5
T2,C33,0,4.5,C40X70,0.4,0.7,0.4,0.7,B25,5.5,14,0,5.5,14,4.5
T2,C32,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,0,6.5,0,0,6.5,4.5
T2,C31,0,4.5,C50X50,0.5,0.5,0.5,0.5,B25,11.5,6.5,0,11.5,6.5,4.5
T2,C30,0,4.5,C50X50,0.5,0.5,0.5,0.5,B25,5.5,6.5,0,5.5,6.5,4.5
T2,C3,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,28.98,14,0,28.98,14,4.5
T2,C29,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,17,0,0,17,0,4.5
T2,C28,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,11.5,0,0,11.5,0,4.5
T2,C27,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,5.5,0,0,5.5,0,4.5
T2,C26,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,0,0,0,0,0,4.5
T2,C25,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,0,14,0,0,14,4.5
T2,C24,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,11.5,21.2,0,11.5,21.2,4.5
T2,C23,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,5.5,21.2,0,5.5,21.2,4.5
T2,C2,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,47.58,5.58,0,47.58,5.58,4.5
T2,C16,77,4.5,C30X60,0.3,0.6,0.3,0.6,B25,26.1,1.45,0,26.1,1.45,4.5
T2,C15,0,4.5,C30X22,0.22,0.3,0.22,0.3,B25,-3.35,10.74,0,-3.35,10.74,4.5
T2,C14,0,4.5,C50X40,0.5,0.4,0.5,0.4,B25,0,10.74,0,0,10.74,4.5
T2,C13,0,4.5,C30X22,0.22,0.3,0.22,0.3,B25,-3.35,14,0,-3.35,14,4.5
T2,C12,0,4.5,C30X60,0.3,0.6,0.3,0.6,B25,47.58,8.85,0,47.58,8.85,4.5
T2,C11,0,4.5,C22X22,0.22,0.22,0.22,0.22,B25,45.48,8.85,0,45.48,8.85,4.5
T2,C10,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,0,21.2,0,0,21.2,4.5
T2,C1,0,4.5,C40X50,0.4,0.5,0.4,0.5,B25,41.38,9.335,0,41.38,9.335,4.5
