Point,GlobalX,GlobalY,GlobalZ,SpecialPt
1,4.07,-0.03,0,#N/A
2,4.07,-0.03,3.6,#N/A
3,8.25,-0.03,0,#N/A
4,8.25,-0.03,3.6,#N/A
5,2.19,-0.03,0,#N/A
6,2.19,-0.03,3.6,#N/A
7,0,-0.03,0,#N/A
8,0,-0.03,3.6,#N/A
9,1.68,3.76,0,#N/A
10,1.68,3.76,3.6,#N/A
11,0,3.76,0,#N/A
12,0,3.76,3.6,#N/A
13,1.68,5.48,0,#N/A
14,1.68,5.48,3.6,#N/A
15,0,5.48,0,#N/A
16,0,5.48,3.6,#N/A
17,4.07,5.89,0,#N/A
18,4.07,5.89,3.6,#N/A
19,8.25,6.39,0,#N/A
20,8.25,6.39,3.6,#N/A
21,4.07,3.76,3.6,#N/A
22,2.19,3.76,3.6,#N/A
23,0,2.81,3.6,#N/A
24,2.19,2.81,3.6,#N/A
25,4.07,5.928933333333334,3.6,#N/A
26,1.68,5.6653090909090915,3.6,#N/A
27,4.07,-0.03,19.900000000000002,#N/A
29,2.19,-0.03,19.900000000000002,#N/A
30,0,-0.03,19.900000000000002,#N/A
31,1.68,3.76,19.900000000000002,#N/A
32,0,3.76,19.900000000000002,#N/A
33,1.68,5.48,19.900000000000002,#N/A
34,0,5.48,19.900000000000002,#N/A
35,4.07,5.89,19.900000000000002,#N/A
37,4.07,3.76,19.900000000000002,#N/A
38,2.19,3.76,19.900000000000002,#N/A
39,0,2.81,19.900000000000002,#N/A
40,2.19,2.81,19.900000000000002,#N/A
41,4.07,5.928933333333334,19.900000000000002,#N/A
42,1.68,5.6653090909090915,19.900000000000002,#N/A
43,4.07,-0.03,17.1,#N/A
44,8.25,-0.03,17.1,#N/A
45,2.19,-0.03,17.1,#N/A
46,0,-0.03,17.1,#N/A
47,1.68,3.76,17.1,#N/A
48,0,3.76,17.1,#N/A
49,1.68,5.48,17.1,#N/A
50,0,5.48,17.1,#N/A
51,4.07,5.89,17.1,#N/A
52,8.25,6.39,17.1,#N/A
53,4.07,3.76,17.1,#N/A
54,2.19,3.76,17.1,#N/A
55,0,2.81,17.1,#N/A
56,2.19,2.81,17.1,#N/A
57,4.07,5.928933333333334,17.1,#N/A
58,1.68,5.6653090909090915,17.1,#N/A
59,4.07,-0.03,13.8,#N/A
60,8.25,-0.03,13.8,#N/A
61,2.19,-0.03,13.8,#N/A
62,0,-0.03,13.8,#N/A
63,1.68,3.76,13.8,#N/A
64,0,3.76,13.8,#N/A
65,1.68,5.48,13.8,#N/A
66,0,5.48,13.8,#N/A
67,4.07,5.89,13.8,#N/A
68,8.25,6.39,13.8,#N/A
69,4.07,3.76,13.8,#N/A
70,2.19,3.76,13.8,#N/A
71,0,2.81,13.8,#N/A
72,2.19,2.81,13.8,#N/A
73,4.07,5.928933333333334,13.8,#N/A
74,1.68,5.6653090909090915,13.8,#N/A
75,4.07,-0.03,10.5,#N/A
76,8.25,-0.03,10.5,#N/A
77,2.19,-0.03,10.5,#N/A
78,0,-0.03,10.5,#N/A
79,1.68,3.76,10.5,#N/A
80,0,3.76,10.5,#N/A
81,1.68,5.48,10.5,#N/A
82,0,5.48,10.5,#N/A
83,4.07,5.89,10.5,#N/A
84,8.25,6.39,10.5,#N/A
85,4.07,3.76,10.5,#N/A
86,2.19,3.76,10.5,#N/A
87,0,2.81,10.5,#N/A
88,2.19,2.81,10.5,#N/A
89,4.07,5.928933333333334,10.5,#N/A
90,1.68,5.6653090909090915,10.5,#N/A
91,4.07,-0.03,7.2,#N/A
92,8.25,-0.03,7.2,#N/A
93,2.19,-0.03,7.2,#N/A
94,0,-0.03,7.2,#N/A
95,1.68,3.76,7.2,#N/A
96,0,3.76,7.2,#N/A
97,1.68,5.48,7.2,#N/A
98,0,5.48,7.2,#N/A
99,4.07,5.89,7.2,#N/A
100,8.25,6.39,7.2,#N/A
101,4.07,3.76,7.2,#N/A
102,2.19,3.76,7.2,#N/A
103,0,2.81,7.2,#N/A
104,2.19,2.81,7.2,#N/A
105,4.07,5.928933333333334,7.2,#N/A
106,1.68,5.6653090909090915,7.2,#N/A
115,9.75,3.09,17.1,#N/A
116,9.04,6.39,17.1,#N/A
117,9.04,3.09,17.1,#N/A
