cell,block,fingerprint,cachedValue,dependencySheets,classificationReasons,formula,normalizedFormula
B1,UNCLASSIFIED,1e4d06da3c596bca9296,0,,,"IF(M10=""Thử tĩnh"",1,0)","IF(R[+9]C[+11]=""THỬTĨNH"",1,0)"
L3,UNCLASSIFIED,7fabb2fc4423b971bca3,46253,,,TODAY(),TODAY()
C9,UNCLASSIFIED,32e35811abc1235c0ac2,Cấp hậu quả của công trình:,,,"""Cấp hậu quả của công trình:""","""CẤPHẬUQUẢCỦACÔNGTRÌNH:"""
H10,UNCLASSIFIED,60f21ab69bd9cd6b1f8c,1.1499999999999999,,,"IF(H9=""C1"",1,IF(H9=""C2"",1.15,1.2))","IF(R[-1]C=""R[-9]C[-5]"",1,IF(R[-1]C=""R[-8]C[-5]"",1.15,1.2))"
N17,UNCLASSIFIED,dcd034cac898a63d885c,480,,,"MAX(MIN(O20:O1000),MIN(N20:N1000))","MAX(MIN(R[+3]C[+1]:R[+983]C[+1]),MIN(R[+3]C:R[+983]C))"
O17,UNCLASSIFIED,301b19d4646b2bdc23a9,480,,,N17,RC[-1]
A20,JOIN,5ea8e873f07aa89e502e,1,,VLOOKUP,"VLOOKUP(B20,Q:U,5,0)","VLOOKUP(RC[+1],Q:U,5,0)"
D20,JOIN,f5205744725a2f66161f,C250,,VLOOKUP,"VLOOKUP(B20,Q:U,2,0)","VLOOKUP(RC[-2],Q:U,2,0)"
H20,JOIN,34eab90c394d3c1042b9,250,,VLOOKUP,"VLOOKUP(B20,Q:U,3,0)","VLOOKUP(RC[-6],Q:U,3,0)"
I20,JOIN,316a886ee18efca0c3ce,350,,VLOOKUP,"VLOOKUP(B20,Q:U,4,0)","VLOOKUP(RC[-7],Q:U,4,0)"
J20,UNCLASSIFIED,f7cb8b3574809d50071f,Đài 1 cọc,,,"NhomCoc(A20,$A$1,$A$2)","NHOMCOC(RC[-9],R1C1,R2C1)"
K20,UTILIZATION,8c7575893a40f2d6662a,304.34782608695656,,,I20/$H$10,RC[-2]/R10C8
